assessment_id,id_no,binomial,presence,origin,seasonal,compiler,year,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
497499,132523146,Hubbsina turneri,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,de Jong, ,2014,-101.4795,19.8745
497499,132523146,Hubbsina turneri,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Köck et al., ,2014,-101.7773,19.8256
497499,132523146,Hubbsina turneri,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Lyons, ,2015,-101.7876,19.8273
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Laguna Magdalena, , , ,Köck et al., ,2016,-104.0793,20.9014
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Domínguez-Domínguez, ,2017,-103.845,20.6801
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Domínguez-Domínguez, ,2017,-103.8433,20.681
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Domínguez-Domínguez, ,2017,-103.8431,20.6761
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Domínguez-Domínguez, ,2017,-103.8427,20.6758
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Domínguez-Domínguez, ,2017,-103.8415,20.6896
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Köck et al., ,2016,-103.8417,20.6897
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Soltz et al., ,1977,-103.844,20.6814
500918,1117,Ameca splendens,4,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Possibly Extinct, ,Laguna de Sayula, , , ,Domínguez-Domínguez, ,2005,-103.5148,19.955
500918,1117,Ameca splendens,4,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Possibly Extinct, ,Río Ameca, , , ,Peters & McIntosh, ,1949,-103.927,20.5626
756253,157997,Celosia patentiloba,4,1,1,East African Plant Red List Authority,2019,IUCN,Possibly Extinct, ,,,,,,,0,39.3,-10.9333
758766,158052,Cyathula braunii,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,39.3666,-10.1
758766,158052,Cyathula braunii,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,39.4166,-4.2333
762687,158143,Stephanostema stenocarpum,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,39.0833,-6.85
762687,158143,Stephanostema stenocarpum,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,39.15,-6.8833
762687,158143,Stephanostema stenocarpum,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,39.1666,-6.8333
762687,158143,Stephanostema stenocarpum,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,39.1833,-6.9
762967,158149,Impatiens saliensis,4,1,1,IUCN SSC Eastern African Plant Red List Authority,2008,IUCN SSC Eastern African Plant Red List Authority,Possibly Extinct,,,,,,,,1932,36.6833,-8.9666
763372,158157,Gutenbergia oppositifolia,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,38.7,-6.4333
763372,158157,Gutenbergia oppositifolia,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,39.1833,-6.9
765782,158189,Sphaeranthus cristatus,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,38.5,-4.8333
767703,158232,Kleinia vermicularis,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,38.0666,-4.6333
767703,158232,Kleinia vermicularis,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,38.0833,-4.5833
767703,158232,Kleinia vermicularis,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,38.2,-4.55
770421,158276,Ancistrocladus tanzaniensis,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,35.9333,-8.5
770421,158276,Ancistrocladus tanzaniensis,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,35.9666,-8.35
770421,158276,Ancistrocladus tanzaniensis,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,35.9833,-8.3833
772037,158324,Buxus cordata,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,38.7261,-4.915
772037,158324,Buxus cordata,1,1,1,East African Plant Red List Authority,2019,IUCN,Extant (resident), ,,,,,,,0,38.7333,-4.8666
1082565,165425,Lathyrus gloeosperma,1,1,1,James Rowe (University of Birmingham),2018,Shehadeh 2011,Extant (resident), , , , , , , ,,35.21667,31.78333
1082565,165425,Lathyrus gloeosperma,1,1,1,James Rowe (University of Birmingham),2018,Shehadeh 2011,Extant (resident), , , , , , , ,,35.35,32.75
1082565,165425,Lathyrus gloeosperma,1,1,1,James Rowe (University of Birmingham),2018,Shehadeh 2011,Extant (resident), , , , , , , ,,35.397,32.563
1082565,165425,Lathyrus gloeosperma,1,1,1,James Rowe (University of Birmingham),2018,Shehadeh 2011,Extant (resident), , , , , , , ,,35.45,32.15
1082565,165425,Lathyrus gloeosperma,1,1,1,James Rowe (University of Birmingham),2018,Shehadeh 2011,Extant (resident), , , , , , , ,,36.57,32.83
1082565,165425,Lathyrus gloeosperma,1,1,1,James Rowe (University of Birmingham),2018,Shehadeh 2011,Extant (resident), , , , , , , ,,36.57297,32.82848
1082565,165425,Lathyrus gloeosperma,1,1,1,James Rowe (University of Birmingham),2018,Shehadeh 2011,Extant (resident), , , , , , , ,,36.6,32.81666667
1082565,165425,Lathyrus gloeosperma,1,1,1,James Rowe (University of Birmingham),2018,Shehadeh 2011,Extant (resident), , , , , , , ,,36.79361,32.78778
1082565,165425,Lathyrus gloeosperma,1,1,1,James Rowe (University of Birmingham),2018,Shehadeh 2011,Extant (resident), , , , , , , ,,36.83333333,32.8
1274613,169372,Allotoca diazi,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Domínguez-Domínguez, ,1998,-101.5651,19.5575
1274613,169372,Allotoca diazi,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Instituto Politécnico Nacional, ,1941,-101.5214,19.5205
1274613,169372,Allotoca diazi,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Köck et al., ,2017,-101.5215,19.573
1274613,169372,Allotoca diazi,4,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Possibly Extinct, , , , , ,Barbour & Douglass, ,1969,-101.7064,19.5861
1274613,169372,Allotoca diazi,4,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Possibly Extinct, , , , , ,Barbour & Douglass, ,1969,-101.5726,19.6367
1274613,169372,Allotoca diazi,4,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Possibly Extinct, , , , , ,Jiménez, ,1990,-101.6508,19.5717
1274613,169372,Allotoca diazi,4,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Possibly Extinct, , , , , ,Lyons, ,1991,-101.616,19.5623
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",GBIF.org 2019, ,1934,27.468,-11.687
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",GBIF.org 2019, ,1939,27.468,-11.687
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",GBIF.org 2019, ,1963,27.586,-11.635
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",GBIF.org 2019, ,1966,27.468,-11.687
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",GBIF.org 2019, ,1974,27.55,-11.629
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",GBIF.org 2019, ,1982,27.598,-11.619
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",GBIF.org 2019,PreservedSpecimen,1934,27.466667,-11.666667
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",GBIF.org 2019,PreservedSpecimen,1939,27.466667,-11.666667
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",GBIF.org 2019,PreservedSpecimen,1946,27.583333,-11.633333
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",GBIF.org 2019,PreservedSpecimen,1963,27.583333,-11.633333
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",GBIF.org 2019,PreservedSpecimen,1974,27.583333,-11.633333
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",GBIF.org 2019,PreservedSpecimen,1983,27.583333,-11.633333
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",GBIF.org 2019,PreservedSpecimen,1987,27.583333,-11.633333
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",GBIF.org 2019,PreservedSpecimen,1990,27.582222,-11.635277
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",Maxted et al. 2004,PreservedSpecimen,1934,27.468,-11.687
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",Maxted et al. 2004,PreservedSpecimen,1939,27.468,-11.687
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",Maxted et al. 2004,PreservedSpecimen,1963,27.586,-11.635
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",Maxted et al. 2004,PreservedSpecimen,1966,27.468,-11.687
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",Maxted et al. 2004,PreservedSpecimen,1974,27.548,-11.617
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",Maxted et al. 2004,PreservedSpecimen,1974,27.55,-11.629
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",Maxted et al. 2004,PreservedSpecimen,1982,27.598,-11.619
1313664,170432,Vigna dolomitica,1,1,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Extant (resident), , ,"", ,"",Maxted et al. 2004,PreservedSpecimen,1983,27.578,-11.631
1313664,170432,Vigna dolomitica,6,5,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Presence Uncertain & Origin Uncertain, , ,"", ,"",GBIF.org 2019, ,1974,27.566667,-11.633333
1313664,170432,Vigna dolomitica,6,5,1,Joana Magos Brehm (University of Birmingham),2019,IUCN,Presence Uncertain & Origin Uncertain, , ,"", ,"",GBIF.org 2019, ,1990,27.576,-11.6345
1383532,173403,Diospyros subtrinervis,1,1,1,L. Faranirina,2018,MBG,Extant (resident),,,,Madagascar,,H. Perrier de la Bâthie 540,,1898,46.9166667,-17.6
1407024,173968,Diospyros ketsensis,1,1,1,L. Faranirina,2018,MBG,Extant (resident),,,,Madagascar,,H. Perrier de la Bâthie 17785,,1926,47.0166667,-17.75
1408230,173987,Diospyros tetrapoda,1,1,1,L. Faranirina,2018,MBG,Extant (resident),,,,Madagascar,,H. Perrier de la Bâthie 18254,,1927,48.1166667,-18.8833333
1429047,176089,Vicia eristalioides,1,1,1,Danielle McFarlane,2017,"Maxted, N.",Extant (resident), , , , , , , ,,30.4,36.316667
1429047,176089,Vicia eristalioides,1,1,1,Danielle McFarlane,2017,"Maxted, N.",Extant (resident), , , , , , , ,,30.4,36.3167
1429047,176089,Vicia eristalioides,1,1,1,Danielle McFarlane,2017,"Maxted, N.",Extant (resident), , , , , , , ,,30.416667,36.35
1429047,176089,Vicia eristalioides,1,1,1,Danielle McFarlane,2017,"Maxted, N.",Extant (resident), , , , , , , ,,30.41667,36.35
1429047,176089,Vicia eristalioides,1,1,1,Danielle McFarlane,2017,"Maxted, N.",Extant (resident), , , , , , , ,,30.4167,36.35
1429047,176089,Vicia eristalioides,1,1,1,Danielle McFarlane,2017,"Maxted, N.",Extant (resident), , , , , , , ,,30.4333,36.3833
1429047,176089,Vicia eristalioides,1,1,1,Danielle McFarlane,2017,"Maxted, N.",Extant (resident), , , , , , , ,,30.433333,36.383333
1429047,176089,Vicia eristalioides,1,1,1,Danielle McFarlane,2017,"Maxted, N.",Extant (resident), , , , , , , ,,34.226111,36.615
1429047,176089,Vicia eristalioides,1,1,1,Danielle McFarlane,2017,"Maxted, N.",Extant (resident), , , , , , , ,,36.3147,34.775
1429047,176089,Vicia eristalioides,1,1,1,Danielle McFarlane,2017,"Maxted, N.",Extant (resident), , , , , , , ,,36.31472,34.775
1494216,177600,Balaka streptostachys,1,1,1,Siteri Tikoca and Malin Rivers,2017,NatureFiji & BGCI,Extant (resident),,,,,,,PreservedSpecimen,,179.414978,-16.68092412
1494264,17762,Poblana alchichica,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1941,-97.4,19.34694
1494264,17762,Poblana alchichica,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1947,-97.37833,19.40722
1494264,17762,Poblana alchichica,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1963,-97.37833,19.40722
1494264,17762,Poblana alchichica,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1966,-97.37833,19.40722
1494264,17762,Poblana alchichica,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1978,-97.37833,19.40722
1494264,17762,Poblana alchichica,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1994,-97.4,19.34694
1494296,17763,Poblana ferdebueni,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1959,-98.02889,19.82889
1494296,17763,Poblana ferdebueni,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1972,-98.03361,19.82778
1494351,17764,Poblana letholepis,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , , ,PRESERVED_SPECIMEN,1947,-97.37833,19.40722
1494351,17764,Poblana letholepis,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , , ,PRESERVED_SPECIMEN,1963,-97.37833,19.40722
1494351,17764,Poblana letholepis,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , , ,PRESERVED_SPECIMEN,1964,-97.4,19.37833
1494351,17764,Poblana letholepis,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , , ,PRESERVED_SPECIMEN,1966,-97.37833,19.40722
1494351,17764,Poblana letholepis,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , , ,PRESERVED_SPECIMEN,1978,-97.4,19.37833
1494618,17765,Poblana squamata,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1947,-97.49111,19.33556
1494618,17765,Poblana squamata,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1994,-97.49111,19.33556
1572734,179256,Orthosiphon scedastophyllus,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1900,39.3333,-9.75
1572734,179256,Orthosiphon scedastophyllus,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1929,39.3333,-9.75
1572734,179256,Orthosiphon scedastophyllus,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1930,39.3333,-9.75
1572734,179256,Orthosiphon scedastophyllus,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1935,39.3333,-9.75
1573023,179262,Cyperus gigantobulbes,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1955,38.4333,-7.1
1573421,179270,Rhynchosia braunii,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,2012,39.1666,-8.1333
1575393,179331,Rhynchosia calobotrya,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1935,39.4833,-10.05
1576312,179363,Rhynchosia holtzii,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1939,39.0833,-6.9166
1576312,179363,Rhynchosia holtzii,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1971,39.0333,-6.9166
1576312,179363,Rhynchosia holtzii,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,2002,39.0922,-6.7363
1576312,179363,Rhynchosia holtzii,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,2019,39.0333,-6.9166
1576556,179372,Oldenlandia borrerioides,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2015,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1961,40.2,-2.65
1582283,179544,Cyperus boreobellus,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1953,39.1167,-3.7667
1582283,179544,Cyperus boreobellus,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1998,38.95,-3.9667
1588274,179730,Bulbostylis microcarpa,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,0,38.0333,-4.6333
1588274,179730,Bulbostylis microcarpa,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,0,38.0667,-4.7
1588274,179730,Bulbostylis microcarpa,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,2015,37.9833,-4.5833
1588274,179730,Bulbostylis microcarpa,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,2015,38.05,-4.6167
1588274,179730,Bulbostylis microcarpa,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,2015,38.0833,-4.7333
1589098,179762,Orthosiphon schliebenii,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1935,39.25,-10.1666
1590604,179803,Millettia puguensis,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1954,39.0833,-6.9
1590604,179803,Millettia puguensis,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1970,39.0833,-6.8666
1590604,179803,Millettia puguensis,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1972,39.0833,-6.9
1590604,179803,Millettia puguensis,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1977,39.0833,-6.9
1590604,179803,Millettia puguensis,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1988,39.0833,-6.8333
1590604,179803,Millettia puguensis,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,2001,39.0333,-6.9166
1590604,179803,Millettia puguensis,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,2001,39.0586,-6.9266
1590604,179803,Millettia puguensis,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2011,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,2003,39.083,-6.905
1593094,179880,Oldenlandia patula,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2015,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1926,39.3333,-9.75
1593094,179880,Oldenlandia patula,1,1,1,IUCN SSC Eastern African Plant Red List Authority,2015,IUCN SSC Eastern African Plant Red List Authority,Extant (resident),,,,,,,,1930,39.3333,-9.75
1970666,191129,Chirostoma aculeatum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1953,-101.13694,20.22722
1970666,191129,Chirostoma aculeatum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1961,-101.13694,20.22722
1970666,191129,Chirostoma aculeatum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1964,-101.125,20.24333
1970666,191129,Chirostoma aculeatum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1965,-102.33667,20.29111
1970666,191129,Chirostoma aculeatum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1966,-101.60583,20.45056
1970666,191129,Chirostoma aculeatum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1966,-101.1875,20.23417
